,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,recalled
17299,20150408-9862C-2147433882,4/8/2015,4/16/2015,4/30/2015,Medical Examiner and Coroner,This was a 3500 Watt Champion Generator. The color of the generator was black and yellow. It appeared to be small in size.,Home Maintenance and Structures,Electrical Systems,Generators or Power Plants (606),606,CHAMPION POWER EQUIPMENT,Champion,46595,1410Y6503169,,,,,,,,"Subject was a 36 year old African American male who was found unresponsive at his home on 4/6/15 in Princess Anne, Maryland. Medical Examiner Case # [REDACTED]. Subject along with seven other children were found deceased on scene. All seven children were also taken to the Medical Examiners Office.  These case numbers include [REDACTED]. Cause of death was due to Carbon Monoxide Intoxication. The electric had been turned off in the home and there was a large generator being used in the kitchen, the gas tank was empty and the switch key was on. Generator was a 3500 Watt Champion. Model # 46595, serial #[REDACTED]. All eight people were pronounced on scene and transported to the Medical Examiners for autopsy.",,Princess Anne,Maryland,21853,Home/Apartment/Condominium,Death,Male,Unspecified,36,Yes,No,,,No,No,,This product may be in Police Custody. ,,,0
11016,20161025-A8DEE-2147411713,10/25/2016,11/2/2016,11/17/2016,Consumer,Electrolux Home Products Frigidaire Room Air Conditioner; Model FRA064AT7; Serial Number KK25142655,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Air Conditioners (381),381,ELECTROLUX/WHITE CONSOLIDATED,Frigidaire,FRA064AT7,KK25142655,,12/1/2012,,,,5/15/2013,Yes,"I am reporting a problem with an Electrolux Home Products Frigidaire Room Air Conditioner. The Model is FRA064AT7 and the Serial Number is KK25142655.

My husband and I usually use the remote to turn on the air conditioner. However, one day this summer, my husband turned on the air conditioner by hand (instead of using the remote). He smelled a strong musty odor. He looked closely at the air conditioner and saw there was black mold on the vents (located on the front above the air filter), so he removed them and clean them. He also could see inside the air conditioner and saw the fan and other parts inside the body of the air conditioner had black mold, including the white Styrofoam inner shell. We do not know how long this black mold had been growing in the air conditioner.

My husband and I both experienced numerous mold-related health issues due to the mold inside the air conditioner. We didn't realize the health issues we were having were due to mold until we discovered the mold on the vents and in the air conditioner. After cleaning the mold off the vents (and regularly checking and cleaning them since then), the health issues have decreased. The mold still remained inside the body of the air conditioner.

The air conditioner's manual has Care and Cleaning instructions regarding the air filter and exterior cabinet only. It does not indicate that the vents (located on the front above the air filter) and the interior body of the air conditioner need to be cleaned. It is easy to remove the vents and clean them. However, it is quite a process to access the interior body of the air conditioner.

Suggestions: The manual should at least be updated to include the vents as a part that needs to be cleaned on a regular basis. Perhaps the interior components could be made of mold-resistant materials.

The mold that grew in this air conditioner is definitely a health issue for people. My husband and I do not own a pet, but I wonder if the mold could also cause health issues for pets.

Now that it is autumn and the temperatures are cooler, we have removed the air conditioner for the season. My husband took the air conditioner apart, and I took pictures.

I will attach photos of the inside of the air conditioner, pictures of the model/serial number tag on the outside of the air conditioner, and the Care and Cleaning instructions that are in the air conditioner manual. I have also attached a photo of the front of the air conditioner showing the vents that I refer to above. The vent photo shows them after they were cleaned and the air conditioner is ready for winter storage.

For the Incident Date below, I will use an estimated date of when my husband turned on the air conditioner by hand and smelled the strong musty odor.",,Chicago,Illinois,60614,Home/Apartment/Condominium,"Injury, Seen by Medical Professional",Female,Self,46,Yes,,,,No,No,Yes,"Yes, I have the product. Yes, it is important for the manufacturer to be aware of how their product is performing.",,,0
2468,20190226-C2E77-2147382471,2/26/2019,3/6/2019,3/21/2019,Consumer,"LG model WT5680HVA top loading washing machine, grey
S/N 409PNTF03633",Home Maintenance and Structures,"Laundry, Fabric Care & Sewing","Washing Machines, Other or Not Specified (140)",140,"LG Electronics, USA",LG,WT5680HVA,409PNTF03633,,9/1/2014,409,Best Buy,Maryland,11/24/2014,,"This evening my LG washing machine suffered a catastrophic failure causing property damage. Myself, my wife and two daughters were home at 9:30pm on Feb 26, 2019 and heard a deafeningly loud noise that sounded like thunder inside our home. It appears our washing machine experienced an internal explosion that rotated the washer 180 degrees, and moved about three feet from the wall, pulling the electrical cord from the socket. The hot and cold water hoses appear to have restrained the machine from moving further from the wall. The metal side panels are deformed in multiple places and the top section and control panel are separated from the main unit. As a result of the explosion, the machine struck and damaged the walls of our laundry room and they will require repair. My daughter and wife were sitting on a sofa in an adjacent room against the same wall that was struck and damaged by the washing machine. I am concerned for the safety of my family or anyone using this model of machine, and feel very fortunate that nobody was in the laundry room when the explosion took place.",,Silver Spring,Maryland,20902,Unspecified,"Incident, No Injury",Female,My Child,9,Yes,No,,,No,Yes,,"The damaged product is still in my home, and I am also contacting the manufacturer to report this incident.","(3/6/2019) LG Electronics, USA: LG manufactures this washing machine to meet or exceed all relevant standards including UL2157. Our process not only rigorously tests to insure the quality of product leaving our factory, but we also carefully monitor how our products perform in use.  LG takes very seriously the concerns of our customers and uses such feedback on an on-going basis to evaluate and improve our products. Consumers desiring more information about their washing machines should either visit our web site at http://www.lg.com/us/index.jsp or call our toll free number: 1-800-243-0000.",,0
8035,20170506-DB500-2147403725,5/6/2017,7/13/2017,7/27/2017,Consumer,SHP65T52UC/07 dishwasher,Kitchen,Appliances,Dishwashers (214),214,BSH HOME APPLIANCES CORPORATION,Bosch,Shp65t52uc/07,,,,,Best buy,,7/1/2016,,Our less than year old Bosch dish washer has had complete electrical failure twice. This offurance the technician found that the Bosch supplied power junction box from home power to the dishwasher had bunt up to the point of deforming the box and charring the buss strip. This is obviously a fire hazard and a similar problem to their previous recall. ,,Irmo,South Carolina,29063,Home/Apartment/Condominium,"Incident, No Injury",Male,Self,53,Yes,No,,,No,Yes,,They have scheduled a technician for this coming week to attempt repair,,,1
7194,20170926-12DE5-1698622,9/26/2017,10/4/2017,10/19/2017,Consumer,"Pyrex 9"" x 13"" glass baking dish",Kitchen,Cookware & Tableware,Nonmetal Cookware (Nonelectric) (461),461,"World Kitchen, LLC",Pyrex,,,,,,Grocery,California,2/1/2015,Yes,At 1:20am I heard a crashing sound. Upon looking nothing was evident. Later the same day I opened a lower kitchen cabinet and glass spilled everywhere slivers and shards. My 9 x 13 glass Pyrex baking dish exploded on the shelf in the middle of the night! It hadn't been used for weeks and had no damage. I researched and found this is not an uncommon problem. Why is it still being manufactured? I did find that [REDACTED] manufactures bakeware w/borosilicate - I'm trying that.,,Bonsall,California,92003,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Self,,No,No,,,,No,No,,"(12/21/2017) World Kitchen, LLC: At World Kitchen the safety of consumers is our highest priority.  As part of our standard procedures, we follow up on reported incidents.  We encourage consumers with any concerns about our products to contact us toll-free at 800-999-3436, or e-mail us using the contact us link on our website--www.pyrexware.com.The Safety & Usage Instructions for our products and other important product information is available at www.pyrexware.com.  All glass bakeware can experience thermal breakage if exposed to sudden or uneven temperature changes.  You can avoid the most common causes of thermal breakage by following four simple rules:                                                                                                                                                                                                                                                                                                                                                                            1.  Always place hot glass bakeware on a dry, cloth potholder or towel.                                                                                                                                                                                                                                                                                                                                                                      Never place hot glass bakeware on top of the stove, on a metal trivet, on a damp towel, directly on a counter or in a sink.                                                                                                                                                                             2. Never put glass bakeware directly on a burner or under a broiler.                                                                                                                                                                                                                                                                            3. Always allow the oven to fully preheat before placing glass bakeware in the oven.                                                                                                                                                                                                                                      4. Always cover the bottom of the dish with liquid before cooking meat or vegetables.",,0
28640,20130114-BE1DE-2147459848,1/14/2013,1/29/2013,2/12/2013,Consumer,Moen One handle Pullout kitchen faucet,Home Maintenance and Structures,Plumbing & Bath,Faucets or Spigots (699),699,Moen Incorporated,Moen,CA87316C/One handle Pullout kitchen faucet,,,,,Lowe's,,11/8/2012,Yes,"In November, 2012, my husband and I bought a new Moen Onehandle Pullout kitchen faucet, model number CA87316C, which was installed on November 13, 2012.
Several days after we had it installed, I started smelling a chemical smell, when the cold water was being used.  I am very sensitive to certain smells and it has made me feel ill whenever I smell it.  I have looked online and many other people with Moen kitchen faucets seem to have the same problem.
Because I wash my hands at the kitchen sink many times a day, make coffee with water from that faucet, as well as use it for cooking, I am very concerned as to what is causing the smell and how dangerous it may be.  I have read that people who have complained to Moen about this, have been told that it is the hose that is causing the problem, but people who have replaced the hose still have the same problem.

I wanted the CPSC to be aware of this (I believe other people have also written of this problem) and find out, if you know, what follow-up, if any, has been done and what has been found out about this product.",,North Potomac,Maryland,20878,Home/Apartment/Condominium,"Injury, Level of care not known",Female,Self,63,Yes,No,,,No,No,,I haven't bought a replacement faucet yet.,"(2/7/2013) Moen Incorporated: Moen third-party certifies all of our products to meet or exceed the health and performance requirements within national plumbing codes, including those relating to materials used in drinking water.  All of our drinking water faucets use materials that meet stringent material safety requirements identified in the ANSI/NSF Standard 61 Section 9, Drinking Water System Components - Health Effects standard. Given the limited information provided in this notice, it is impossible for us to determine if what the consumer is experiencing is related to our product, to the water being delivered or possibly to some interaction between the two. The consumer contacted us the same day as submitting this complaint and we are actively working with her to better understand and resolve the issue. Moen is committed to providing safe and reliable products to our customers. As a part of our standard practice, we will continue to monitor situations which may be indicative of a consumer issue with our products and will respond appropriately. For information regarding Moen products go to www.moen.com",,0
11885,20160802-5FAA8-2147416382,8/2/2016,8/10/2016,8/31/2016,Consumer,"Flash Cooking System is a personal cooking system that includes a cooking cup that attaches directly to the burner. Cooking cup has a 1.0 L capacity. The stove features a push button igniter and burner plastic stand. Color is Desert green. Weight is 14 oz. Dimensions are 4.1'' x 7.1''


FLASH-1
D549",Yard & Garden,Grills & Accessories,Other Grills or Stoves (3233),3233,JETBOIL INC (send to Johnson Outdoors),Jetboil Flash Cooking System,,,,,,Backcountry.com,,5/29/2016,,"I purchased a Jetboil Flash Personal Cooking System (Blue Desert color) from Backcountry.com on May 29, 2016. I noticed there was  a very strong plastic smell to it when I received the product, but the seller assured me it is common with new stoves. I did not attempt to use the stove until a camping trip on July 17, 2016. On July 17, 2016, I put cold water into the Jetboil cup and attached it to the Jetboil burner that is attached to Jetboil fuel canister. I made sure that the burner is at the lowest setting and pressed the igniter button that is supposed to automatically ignite the stove. 

What happened instead is I saw the whole stove go up in flames. I could not touch the stove or attempt to disconnect the fuel canister due to extremely high temperature and used whatever water I had at the campsite to put out the fire. Upon examination of the damage, I noticed that the igniter button completely melted off, plastic stand that the burner is attached to sustained substantial damage, and there was some damage to the wooden picnic table.  Upon first use, the whole plastic burner bottom went up in flames when I pressed the igniter. This sort of malfunction is a major safety issue, especially if I did not have access to water at the campsite (which is common on camping trips), the fire could ultimately lead to fuel canister explosion. 

I contacted the manufacturer Jetboil via email describing an incident and attaching photos of the damage but have received no response. Jetboil has previously recalled some of their product and it appears to be another instance of brand new stoves not being properly tested before being put on the market.",,King Salmon,Unspecified,99613,Other,"Incident, No Injury",Female,My Spouse,28,Yes,No,,,No,Yes,,No response from the manufacturer,"(9/1/2016) JETBOIL INC (send to Johnson Outdoors): Johnson Outdoors Gear, Inc. owns the brand name, JETBOIL. Product safety has always been a core value of our company.  We are committed to placing safe products in the marketplace and we always investigate claims that one of our products did not function as intended.   

The consumer contacted our customer service on July 31, 2016 to report an incident with his new Flash camping stove that occurred over two weeks earlier on July 17, 2016.  Our customer service, in accordance with our standard policy, reached out to the consumer, and requested that he return the unit so that we could conduct an inspection and determine the cause of the fire.  The consumer refused our request to inspect his unit because he wanted to consult with his lawyer first.  

On August 4, 2016, we followed up with the consumer and sent prepaid postage information via email to retrieve the unit to inspect it.  We followed up the email with a telephone call.  He again refused our request to inspect the unit and said he would contact CPSC.  On August 5, the consumer informed us that he contacted the CPSC to report the incident.  As of this date, we still have not been afforded the opportunity to retrieve and inspect the incident unit to determine if the failure was due to a manufacturing or design issue, or post-sale damage or alterations to the unit, or user error.  Until we can conduct such an inspection, we will not be in a position to address the failure that the consumer describes. 

Further, this product is subject to exhaustive testing to ensure that the product performs safely in the field.  Our extensive quality control program includes multiple checks and balances to ensure that quality and safety issues are resolved well before the product makes it to the marketplace.   

We always want to be responsive to our customers and address their concerns promptly.    We hope that eventually the consumer will agree to allow us to inspect the unit so we can determine what happened in this incident.  We encourage any of our customers to contact us with any product safety or quality concerns at (888) 611-9905 or customerservice@jetboil.com.  We will continue following our internal policy to fully investigate any safety-related claim provided to us by our customers on any of our products.",,0
34415,20120302-D0CAB-2147469640,3/3/2012,3/12/2012,3/26/2012,Consumer,Maytag dishwasher with stainless steel interior.  Model MDB6650AW    Serial 10520577YK,Kitchen,Appliances,Dishwashers (214),214,WHIRLPOOL CORPORATION,Maytag,MDB6650AW,10520577YK,,,,Riegelmann's,,6/28/2000,,"We have a Maytag dishwasher.  For several months, the dishwasher and dishes had a funny smell after running through the cleaning cycle.  One morning, after breakfast, I ran the dishwasher and went on an errand, returning home approximately 1 hour 15 minutes later.  The kitchen smelled of burnt plastic and there was black smoke coming from the top of the dishwasher door.  There was sticky, black soot on the top edge of the door and on the inside of the door.  I had recently heard a news report about a dishwasher recall so checked online to see if our unit was included in it.  It was not - the recall was for units with a plastic tub, ours is stainless steel.  I called the dealer where the unit was purchased and a repairman was assigned to help us.  When he took the panel off the door, the coating on the wires was melted and there was exposed  wiring.  He said it could easily have started a fire.  He said that many dishwashers were having trouble with the liquid rinse aid getting into the wiring, and this was possibly the result of that action.  The cost to repair the unit was $246.00.  We wonder why the stainless steel tub units were not included in the recall -- it is a serious safety matter and should be investigated.  Also, an issue of the liquid rinse aid leaving its housing and corroding the wiring should also be scrutinized.",,Damascus,Oregon,97089,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Self,,Yes,No,,,No,,,"The door panel was repaired and we are using the dishwasher.  We do not trust the unit, however, and watch it carefully for any signs of trouble.",,,0
19422,20141106-C33C5-2147439141,11/6/2014,11/18/2014,12/4/2014,Consumer,microwave,Kitchen,Appliances,Microwave Ovens (264),264,GE Appliances & Lighting,GE microwave,JES2051DN2WW,SZ202136,'69-291X1614-002136,9/1/2012,,Home Depot,California,5/1/2013,Yes,I  have a  GE microwave model number JES2051DN2WW serial number SZ202136 manufactured 9-2012. When you OPEN the  door of the microwave it turns ON you can see the plate spinnig the light on and hear it cooking i will attach a 1 min video as evidence [REDACTED].,,San Jacinto,California,92582,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,,,,I  told them i want a BRAND new microwave and them to recall this unsafe product ,,,0
23811,20131205-67BAF-2147449307,12/5/2013,12/13/2013,1/7/2014,Consumer,1 broken   1 shattered,Kitchen,Cookware & Tableware,"Drinking Glasses, cups, and mugs (478)",478,TEAVANA CORP. ,teavana,,,,,,Teavana @ Willow Bend mall,Texas,9/10/2012,,"Teavana Glass Tea Tumblers - I purchased 2 of these right when they first came out probably around Sept 2012.   I absolutely loved it but yes, 1 shattered and the other one broke.  I was so devestated as it was one of my favorite on the go cups for my morning commutes.   I didn't realize it was a recalled item.  I do not have my current receipt but do have the debit card in which is was purchased at the Willow Bend mall in Plano, Texas    OMG will they be coming out with a new and improved one.  I now purchased the glass one with the rubber string looking cover over it that came in a set with 2 glasses and a funnel looking thing.",,dallas,Texas,75287,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,42,No,No,,,No,No,,,,,1
3131,20181126-1E4EC-2147384146,11/26/2018,12/4/2018,1/29/2019,Health Care Professional,"Chicco car seat, no other description given",Toys & Children,Strollers & Car Seats,Car Seats (For Infants or Children) (1519),1519,"Artsana USA, Inc",chicco,,,,,,,,,,"On July 4, 2018 mom put both children (twins) into separate car seats to take a nap at a friend's house.  Mom recalls buckling both the chest strap and bottom buckle for both children prior to leaving the room.  The victim was later found unresponsive by a friend and declared deceased.  Friend reports bottom buckle was undone when she was found, and it appeared that she wiggled down to where the chest strap was under her neck.  On autopsy, the ME found no signs of trauma and reported that it appeared that the victim died form Asphyxiation due to compression of the neck.",,Splendora,Texas,77372,Home/Apartment/Condominium,Death,Female,Unspecified,0,No,,,,,,,,,,0
24960,20130912-A072B-2147452072,9/12/2013,9/19/2013,10/21/2013,Consumer,"Dehumidifier Model # AD40USR1 Serial # QS1451530
Whirlpool Corporation Benton Harbor, MI 49022
Capacity 40 pts/24hrs  Refrigerant 22  7.5 OZ
Design Pressure 150 PSI LO SIDE 450 PSI HIGH SIDE
1 phase 115 Volt 60 Hz 5.8 Amp
TYPE DX402# EF FACTOR 1.30 EF LISTING C-749
UL Listed 897A Dehumidifier  CAN/CSA-C368-M90",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Dehumidifiers (306),306,WHIRLPOOL CORPORATION,Whirlpool,AD40USR1,QS1451530,,,,,,9/20/2006,Yes,"I have used my Whirlpool Model # AD40USR1 dehumidifier for a few years to control moisture in the air in my basement.  My Whirlpool dehumidifier is usually left on automatic mode and my husband and I empty it when it automatically shuts off due to the bin being full of water.  

Luckily we were home and hadn't gone to bed around 10pm the other night when our home began to fill with smoke.  I went to the basement, smoke filled the air and we determined that the problem was from the dehumidifier.  My husband was able to shut this unit off, unplug and drag it out of our basement door before it caused a fire.

I do not see this specific dehumidifier on any of the recent recall lists and am concerned for other consumers safety.  I shutter to think what may have happened to my home, or my husband and I had we gone to bed already.",,Bristol,Tennessee,37620,Home/Apartment/Condominium,"Incident, No Injury",Male,My Spouse,42,Yes,No,,,No,No,Yes,"We still have this product because it did not completely burn up, I am contacting the manufacturer next.",,,0
16285,20150702-A1FF6-2147430626,7/2/2015,7/13/2015,8/3/2015,Consumer,Web Riderz Nest Swing,Sports and Recreation,Playground Equipment,Swings or Swing Sets (3246),3246,M and M Sales Enterprises Inc,Web Riderz,,n/A,'n/A,,n/A,Hayneedle,,6/9/2015,,"This is a swing that has a capacity for 600lbs.  It was newly installed 2 weeks ago.  My son, age 3.5 and his babysitter weight 100lbs, total 135lbs were swinging in it and the rope broke off from the ring.  Fortunately injuries were minor but I could imaging they could be worse",,Nyack,New York,10960,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,3,Yes,No,,,No,No,No,,,,0
5787,20170727-8AC9C-1682699,7/27/2017,3/16/2018,4/2/2018,Consumer,MINI Plus Brewing Systems,Kitchen,Appliances,Electric Coffee Makers or Teapots (217),217,"Keurig, Incorporated",Keurig® ,Unknown,31.2001.0183011,'Unknown,,Unknown,QVC,,12/21/2015,Yes,"The submitter indicated that she purchased the machine over the phone. 

The submitter said she was making tea and shortly after she heard a noise. The submitter said when she went to the machine it began spraying hot water all over her lap and she sustained third degree burns. The submitter said she sustained burns on her trunk area, including her thighs and her stomach. The submitter said she was taken to [REDACTED] Hospital Emergency Room, located at [REDACTED]. The submitter said the hospital transferred her via ambulance to [REDACTED] General Hospital Burn Center, located at [REDACTED]. The submitter said she was admitted to the hospital.

The submitter said her attorneys contacted the firm on her behalf and they were told that her machine was not included in the recall. ",,St. Petersburg,Florida,33709,Home/Apartment/Condominium,"Injury, Hospital Admission",Female,Self,65,Yes,No,,,No,Yes,,,,,0
16744,20150526-BFE08-2147432616,5/26/2015,6/3/2015,6/24/2015,Consumer,"Frigidaire Professional Series Glass-top Stove, black/stainless steel",Kitchen,Appliances,"Ranges or Ovens, Not Specified (281)",281,ELECTROLUX/WHITE CONSOLIDATED,Frigidaire,,,,,,,,,,"The right back and front small burners were being used when we heard a high pitched alarm/siren from the stove - a sound we had never heard before.  Looking at the stovetop the left front burner and bridge element were red hot/on and the knob was in the off position.  The burners stayed on while we turned the knob to different settings.  It went off after playing with the knob for a few seconds.  
We believe this could have happened when we were not home so we never leave anything on the stovetop.",,,Unspecified,,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,,,,,No,Yes,Will contact the company to determine if they have a record of correcting the defect as a result of the recall.  ,,,1
10828,20161102-E0D1B-2147411463,11/2/2016,11/10/2016,12/5/2016,Consumer,Cuisinart Immersion Stick Blender,Kitchen,Appliances,Electric Blenders (215),215,CONAIR CORPORATION,Cuisinart,Cuisinart Immersion Stick Blender,,,,,gift,,,,"While using Cuisinart Immersion stick blender I was dislodging stuck food with my finger. Blades accidentally  activated by the gentle torque on the stick. I sustained multiple lacerations, 4 fractures and a severed tendon. 
ER attending stated this was the third injury of this type caused by Immersion Blender he had seen this week.",,Falmouth,Massachusetts,2540,Home/Apartment/Condominium,"Injury, Emergency Department Treatment Received",Female,Self,54,Yes,No,,,No,No,Yes,I plan to let them know about the dangerous product. I am out of work for 8 weeks minimum and may loose my finger.,,,0
28210,20130204-8F4C6-2147459096,2/4/2013,2/14/2013,3/1/2013,Consumer,Sears Kenmore Elite Electric Range,Kitchen,Appliances,Electric Ranges or Ovens (Excl Counter-top Ovens) (278),278,Sears Holdings Management Corporation,Kenmore Elite 30 inch glass top electric range,79099122400,UF43624034,,,,Sears,Washington,12/2/2004,Yes,"While pre-heating my oven, I heard a cracking, sizzling noise and turned around to see fire and smoke coming from the top panel of my electric range.  I immediately used the stop/clear function and it shut down the range.  Had I not been near by, I'm afraid the fire would have damaged the walls and cabinets and possibly burned down the house.  Sears sent a repairman but the range was beyond repair.  The repairman noted the pristine condition of the range and said that he has seen the same thing happen to many of these same brand ranges.  The fire had damaged the oven relay on the control board plus other controls that were undetermined.  This range was purchased in 2004 and had been kept in excellent condition.  Apparently, this has been a problem with this product and I cannot understand why consumers are not alerted about this as a possibility by Sears.   This was very scary and expensive.  Consumers have the right to be aware of such a hazard.",,,Unspecified,,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,69,,,,,,Yes,,Sear tried to repair but couldn't.,"(2/15/2013) Sears Holdings Management Corporation: Sears Holdings takes product safety issues very seriously.  We investigate each CPSC database incident report.  We encourage our customers to provide additional information about incidents to our Customer Care Network, by calling 800-549-4505.",,0
21989,20140421-CA301-2147445252,4/21/2014,4/28/2014,5/12/2014,Consumer,"Ultrasonic Humidifier
Blue water reservoir, white base with green accents",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Humidifiers (304),304,Safety 1st,Safety 1st,Ultrasonic Humidifier,,,,110215,Target,,,,"We have used the Safety 1st Humidifier in my son's room pretty consistently for the first six months after he was born in August of 2011.  We then had central humidification installed on our furnace and the unit was cleaned and stored for several months.  We took it to our cottage that we use on weekends, and began using it for a few weekends a month when we visited our cottage.  The unit was emptied, cleaned, and unplugged when not in use.  This weekend the unit ran out of water, but instead of the automatic shut-off engaging, when we were putting our son to bed, we could smell burning.  We didn't realize it was the humidifier, and we filled the water reservoir, which then emptied out through the hole that had melted in the bottom of this unit, all over our raw pine floors.  We quickly unplugged the unit and attempted to clean up the water.  We discovered the plastic had melted through the unit both visibly evident on the top and the bottom of the base.  We were very grateful that it didn't catch fire.",,Roscommon,Michigan,48653,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,,Yes,No,,,No,Yes,,I have not gotten a response from the manufacturer.,"(4/29/2014) Safety 1st: Thank you for bringing this issue to our attention.  We are interested in speaking with you to discuss your concern.  If you could please contact us through either one of the contact points provided below, it would be greatly appreciated.  
 
We would like to assure consumers that all of Safety 1st products meet or exceed all mandatory and voluntary safety standards.   
 
Safety 1st recommends that all consumers with questions or concerns contact us directly at consumer@djgusa.com or call our Consumer Hotline at (800) 544-1108.",,0
15174,20150922-BCB10-1518456,9/22/2015,10/26/2015,11/9/2015,Consumer,Over The Range Microwave Oven,Kitchen,Appliances,Microwave Ovens (264),264,"SAMSUNG ELECTRONICS AMERICA, INC. (SEA)",Samsung,SMH8165STE-XAA,J4G97MOSC00237Y,,,,Sears,Illinois,2/6/2010,,"The consumer stated that the glass on the microwave door exploded spontaneously. The consumer stated that the microwave was not in use when it happened. The consumer used the microwave approximately 9 hours prior to the incident. 

The consumer stated that the glass shattered all over the floor. The glass is safety glass and so she was not injured. 

The consumer contacted Samsung on 09/17/15. The customer service representative made an appointment for someone to come out on 09/18/15 for an inspection. The consumer received a call from Unique Repairs in the morning of 09/18/15 informing her that they wouldn't be able to come out until 09/21/15. They also asked for credit card information and informed the consumer that it would cost her $107 for inspection. The consumer canceled the appointment.

The consumer contacted Sears and was informed that they can come out for a repair and provide 1 year warranty for $260.

The consumer went ahead and bought a new unit for $255.",,Plainfield,Illinois,60544,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,Yes,,,,,0
27529,20130312-2929F-2147457904,3/12/2013,3/21/2013,4/4/2013,Consumer,maytag gemini double oven gas range in white.  ,Kitchen,Appliances,Gas Ranges or Ovens (279),279,WHIRLPOOL CORPORATION,maytag ,"gemini MGR6775, MGR6875",,,,,,,,,I have a maytag gemini double oven with a broiler feature in the top oven.  The broiler sets fire to food/pans in it very easily.  A couple times it has been very small and gone out on its own.  Today it was big enough that we needed a fire extinguisher to put it out.  I have never had this issue with other ovens in my life.  I always use the broiler on the lowest setting also.,,elburn,Illinois,60119,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,No,No,,,,,0
10177,20161230-5D459-2147408703,12/30/2016,1/10/2017,1/26/2017,Consumer,Cuisinart Grind and Brew DCB-700BC,Kitchen,Appliances,Electric Coffee Makers or Teapots (217),217,CONAIR CORPORATION,Cuisinart,,,,,,,,,,My Cuisinart grind and brew coffee maker had an electrician fire this morning. It appears the warming plate overheated and melted the plastic around it. ,,,Unspecified,,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,37,Yes,No,,,No,Yes,,,,,0
