,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,candidate_brand,specifiers,label
5028,20180529-9FA8F-2147387691,5/29/2018,6/7/2018,6/21/2018,Consumer,"Vornado 
Vornado heater model EH1-0015 SERIAL OND00-118035",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,VORNADO AIR CIRCULATION SYSTEMS,VORNADO,model EH1-0015  intellTEMP,SERIAL OND00-118035,,,,Bed and bath,California,1/8/2017,Yes,"Vornado heater model EH1-0015 SERIAL OND00-118035
Subject: Heater caught on fire

Tonight (5/28/18 at approximately 840pm), my heater caught itself on fire.  I turned it on 10mins prior to warm the room. Initially, I smelt something then saw a flame burst into existence as I was looking at the heater. I IMMEDIATELY turned the switch off.  The flame appeared to occurred at the top under the control area. I then checked the web for simular occurences. That is when I found the recall notice. I also have another heater that I use in my bedroom as opposed to this one in my family room. I am seeking direction on this matter based on the recall.  This could have been very devastating.",San Diego,California,92114,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,,Yes,No,,,No,Yes,,,,,"['VORNADO AIR CIRCULATION SYSTEMS', '', 'VORNADO']","['IMMEDIATELY', '10mins', '28', '840pm', 'SERIAL', '18', 'OND00-118035', 'EH1-0015']",0
5491,20180410-7F144-2147388687,4/10/2018,4/18/2018,5/2/2018,Consumer,Black Vornado VH101 Personal Space Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,Vornado VH101 Person Space Heater,,,,,Amazon,,1/30/2017,,The heater started sparking,New York,New York,10032,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,57,,,,,,,,,(4/18/2018) Vornado Air LLC: Thank you for this information. The product has been recalled. Please visit www.vornado.com/recalls (choose VH101Personal Heater Button) to participate in the recall.,,"['Vornado Air LLC', 'Vornado']",['VH101'],8298
8365,20170523-D589A-2147400273,5/23/2017,6/1/2017,6/22/2017,Consumer,"Vornado 184 Whole Room Tower Air Circulator, 41""

Model   :   TYPE 184-12
Serial No : MAR14-111693",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Fans (380),380,Vornado Air LLC,Vornado,TYPE 184-12,MAR14-111693,,,,,,,,"Vornado 184 Whole Room Tower Air Circulator, 41""


This Tower fan has very very sharp air fins in the front.
When this tower fan fell , it caused deep cuts and injury 
Its totally unsafe around kids.

The silver fins in the front are very sharp.
The black fin (1 on both sides)  on both sides of the silver fins are even more sharp",,Unspecified,,Unspecified,"Injury, Emergency Department Treatment Received",Unspecified,Self,,Yes,No,,,No,No,,,(6/1/2017) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']","['MAR14-111693', 'TYPE', '184-12', '184', '41']",0
10661,20161123-E1A13-2147410444,11/23/2016,12/2/2016,12/16/2016,Consumer,"Vornado portable electric heater, plastic, white; type: AVH30; Serial Number: JUL15-10640; about 14 inches tall.",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,AVH30,JUL15-106403,,,,Beth Bath and Beyond,,,,"Vornado plastic electric space heater was powered and turned on, sitting on a flat hard surface and within a few minutes began to smell and the back of the heater where it vents began to melt.",,Unspecified,,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,No,No,,,No,Yes,,I contacted Vornado; my unit isn't covered by current recall; they paid to ship it back to them to study and they replaced with a different unit.,(12/2/2016) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']","['AVH30', 'JUL15-10640', '14']",0
18289,20150122-260DC-2147436199,1/22/2015,2/2/2015,2/17/2015,Consumer,"Vornado® Whole Room Vortex Heater.  Gray color.    The specs of the Vornado Whole Room Vortex Heater are as follows.
High Heat Watts 1500
Low Heat Watts 750
Amps 12.5
Item Weight 4.1 lbs.
Item Height 11.9 in.
Item Depth 9.5 in.
Item Width 11.8 in.
High Heat RPM 1250
Low Heat RPM 650
High Heat Amps 12.5
Low Heat Amps 6.25
High Heat Temperature 120 degrees
Low Heat Temperature 95 degrees
Hertz 60HZ
Volts 120V",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado® Whole Room Vortex Heater,Vornado® Whole Room Vortex Heater / Gray  VH102,OCT14-12408,,,,Bed Bath and Beyond,,1/18/2015,,I decided to spend a little more money and buy my daughter what I thought was a good heater so I bought her the Vornado Whole Room Vortex Heater at Bed Bath and Beyond.  The FIRST heater we bought had a rattling fan so we returned it.  The SECOND one in less than a month had a broken thermostat where it would click on and off in short intervals.  The thermostat couldn't make up its mind whether it was on or off and it stopped heating on the Auto setting.  The THIRD heater worked for a couple of nights then filled the room up with smoke and a burning smell.  My daughter just reported to me that she woke up at 4 am to find her room filled with smoke and had difficulty breathing.  She has asthma and probably suffered smoke inhalation.  She had to open up the patio window in her bedroom to let out the smoke.  The heater could have burned down the whole apartment complex.  VERY DANGEROUS PRODUCT THAT SHOULD BE RECALLED AND TAKEN OFF THE MARKET.  The last heater was tested in store by my husband who ran 4 heaters to check them before getting our third one.  We also ran the heater at our home for a day before giving it to my daughter.  Despite all our precautions in checking the unit it proved to be UNSAFE.  In total we had tested 6 Vornado Whole Room Vortex Heaters and all of them were lemons and the last one filled the room full of smoke.,San Marino,California,91108,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Female,My Child,24,Yes,No,,,No,No,No,,(2/3/2015) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800/234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado® Whole Room Vortex Heater', 'Vornado Air LLC']","['TAKEN', '60HZ', 'DANGEROUS', 'OFF', '6.25', 'UNSAFE.', '12.5', 'VERY', '120V', 'MARKET.', '120', '4.1', '9.5', '95', 'AND', '11.9', 'THAT', 'SHOULD', 'RPM', 'RECALLED', '750', '650', 'PRODUCT', '1250', '11.8', '1500', 'THIRD', 'SECOND', 'FIRST', 'BE', 'THE']",0
18554,20150106-4800A-2147436917,1/6/2015,1/16/2015,2/2/2015,Consumer,Vornado Whole Room Space Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,TH1,,,,,Navy Exchange web site,,11/18/2014,,My son turned on the Vornado Whole Room Space Heater model # TH1 this morning in the bathroom walked out of the room to turn the coffee on when upon returning to the bathroom with in minutes the bathroom was filled with smoke and the heater was in flames.,,United States,,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,23,Yes,No,,,No,No,Yes,I want to call them to tell them their product is a safety hazard.,(1/20/2015) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800/234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']",['TH1'],0
19174,20141125-18B18-2147438519,11/25/2014,12/4/2014,12/18/2014,Consumer,900 watt hand held cleaner,Home Maintenance and Structures,Other,"Appliances, Other and Not Specified (482)",482,Vornado Air LLC,McCullough ,mc1220,F21220-221529,'047171012203,,,home improvement retailer ,,,,"McCullough steam cleaner MC1220 is unsafe due to the connector come a part when in normal use.. causing the user to me scolded by the steam in their hand or their face


during normal cleaning of my bathtub with the steamer making the back and forth motion causes the hose to detach and the pressurized steam to escape causing scalding on my hand",kimball,Michigan,48060,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,Self,26,Yes,No,,,No,Yes,,they will omg give 30% off if I buy a new one,(12/8/2014) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800/234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'McCullough ']","['McCullough', '900', 'MC1220']",0
22157,20140319-75151-1392560,3/19/2014,4/14/2014,4/28/2014,Consumer,electric room heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning","Electric Heaters, Not Elsewhere Classified (388)",388,Vornado Air LLC,Vornado,VH110,,,,,Home Depot,Massachusetts,12/15/2013,,"(02/07/2014) The consumer stated that the heater self- ignited. 

The consumer stated that he had picked up the girls from school.  The heater had been on about 45 minutes. Then the smoke detector went off. The Three Seasons room was filled with flames and smoke. The consumer took the girls outside to make sure that they were safe. He went back inside, got the fire extinguisher and a flashlight. He turned off the main electrical breaker and then he put out the fire.  

The consumer stated that he discovered that the heater had melted down into itself. The consumer examined the cord that was connected from the heater to the plug in the wall. There was no damage. He picked up the heater with a shovel and took it outside.  

The consumer thinks that the heater caused the fire.
 
The consumer stated that the entire house has smoke and soot damage.

(02/17/2014) The consumer returned the heater to Home Depot. He was advised that he could place a claim with his homeowners insurance. The consumer told them that he would take that under consideration.
(02/17/2014) The consumer received a call from Vornado. He spoke with [REDACTED]. He was advised that they would get the heater from Home Depot to do an examination. After the examination was completed they would discuss paying for damages. The company also asked for the consumers permission to send a forensic fire investigator to inspect his home and his electric system. The consumer consented.

(03/10/2014) [REDACTED] from Robson Forensic came out.  He examined everything. He advised the consumer that he saw nothing in the home or the electrical that contributed to the fire. 

Periodically the consumer stated that he spoke with [REDACTED] at Vornado by email. He wanted to know the results of the investigation. He wanted to know if the company was pulling the product off of the shelves. The consumer did not get a response.

(03/18/2014) The consumer received an email for [REDACTED] advising him to file a homeowners claim. The consumer stated that there was no reference to the investigation. 

The consumer responded to the email to ask for the results to the investigation.",Leominster,Massachusetts,1453,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,,No,No,,,No,Yes,,,(4/17/2014) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800/234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']","['03', '45', 'REDACTED', '02', '07', '2014', '17', '18', '10']",0
22867,20140207-2016C-1385853,2/7/2014,2/28/2014,3/18/2014,Consumer,Space Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,EH1-0005  Type  EVH,JFM00-100254,,,,caller doesn't remember,,,,"On January 28th, 2014 the caller's 32 yr old son turned his space heater on then left the room to take a shower.
In the ten minutes he was out of his room the space heater caught fire and when he returned to his room this heater was in flames going about three feet high and spread about three feet.
He yelled fire to his family and his father/the caller grabbed the fire extinguisher while he also called 911 for emergency assistance.
The fire department arrived within minutes and extinguished the fire.

The space heater had been recalled in 2004 with release # 04-191 by Vernado and at that time this unit as well as another.
Both were repaired and returned to the consumer.

The heaters have worked well after the remedy repair was completed until the time of this fire.
There are no injuries to report
The caller did not contact the manufacturer but does intend to contact them.

The caller states that the unit is beyond repair, he, his wife and his son have all lost work and he is open to any options.",Middlesex,New Jersey,,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,32,Yes,No,,,No,No,,,(3/4/2014) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800/234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']","['28th', '32', '2004', '04-191', '2014', '911']",0
23152,20140201-9A60E-2147447624,2/1/2014,2/10/2014,2/26/2014,Consumer,"Gray heater with a V logo in center front. Approx 13' height
Model: VH102
Serial: AUG12-12419",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,Vornado Air LLC,Vornado,VH102,AUG12-12419,,,,"Bed, Bath and Beyond",,,,"On 1/28/14 I was made a ware that a Vornado portable heater owned by my company and in use in one of our offices malfunctioned. The malfunction partially melted the devices plug and scorched the electrical wall plate in our office. A subsequent attempt to plug it into a different outlet to verify if the problem was with the outlet or the heater resulted in an immediate sizzling sound and smell of smoke as soon as the device was powered on.

Device model number: VH102
Device serial number: AUG12-12419",Hollywood,California,90028,Other Public Property/Office,"Incident, No Injury",Unknown,Unspecified,,Yes,No,,,No,Yes,,Sent an email to manufacturer notifying them of incident.,(2/18/2014) Vornado Air LLC: Thank you for the report. Vornado takes reports of potential product safety matters seriously. We encourage our customers to contact us at 800-234-0604 with concerns about Vornado products. We appreciate receiving information from customers and try to achieve customer satisfaction.,,"['Vornado Air LLC', 'Vornado']","['13', 'AUG12-12419', '28', '14', 'VH102']",0
